P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
P35822," Membrane,  Receptor, Disulfide bond,  Immunoglobulin domain,  Hydrolase, Phosphoprotein,  Protein phosphatase,  Repeat,  Glycoprotein,  Transmembrane helix, Signal,  Reference proteome,  Transmembrane"
Q64455," Phosphoprotein, Membrane,  Cell membrane,  Hydrolase, Cell junction,  Protein phosphatase,  Repeat,  Glycoprotein,  Cell projection,  Transmembrane helix, Signal,  Reference proteome,  Transmembrane"
E9Q612," Membrane,  Phosphoprotein,  Hydrolase,  Protein phosphatase, Receptor,  Repeat, Glycoprotein,  Reference proteome,  Signal,  Transmembrane, Transmembrane helix"
B0V2N1," Membrane,  Receptor,  Cell adhesion,  Heparin-binding, Synaptosome,  Immunoglobulin domain, 3D-structure,  Transmembrane helix,  Reference proteome,  Synapse,  Cell projection,  Transmembrane, Cell membrane,  Cytoplasmic vesicle,  Cell junction,  Alternative splicing,  Disulfide bond, Glycoprotein,  Signal,  Hydrolase,  Repeat, Protein phosphatase"
Q99M80," Membrane,  Phosphoprotein,  Hydrolase,  Disulfide bond,  Protein phosphatase, Receptor,  Repeat, Immunoglobulin domain, Alternative splicing,  Glycoprotein,  Reference proteome,  Signal,  Transmembrane, Transmembrane helix"
D3Z4S3," Reference proteome, Hydrolase"
Q5SUR0," Phosphoprotein,  Ligase,  Magnesium,  Glutamine amidotransferase, Reference proteome,  Nucleotide-binding, ATP-binding,  Cytoplasm,  Purine biosynthesis, Metal-binding"
P28650," Membrane,  GTP-binding,  Alternative splicing,  Ligase, Magnesium, Purine biosynthesis, 3D-structure,  Nucleotide-binding,  Cytoplasm,  Reference proteome,  Metal-binding"
O35295," Direct protein sequencing, Transcription regulation,  Methylation, Phosphoprotein,  DNA-binding, Acetylation,  Nucleus,  Reference proteome,  Repressor,  Transcription"
Q9JKF6," Membrane,  Receptor,  Phosphoprotein, Disulfide bond,  Cell adhesion,  Cell membrane, Reference proteome,  Host-virus interaction,  Repeat, 3D-structure,  Synapse,  Glycoprotein,  Cell projection, Immunoglobulin domain, Transmembrane helix,  Signal,  Transmembrane,  Cell junction"
Q9JLB9,"Synapse, Membrane,  Alternative splicing,  Cell adhesion,  Immunoglobulin domain,  Disulfide bond,  Repeat, 3D-structure,  Postsynaptic cell membrane,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Signal,  Transmembrane, Cell membrane,  Cell junction"
Q9Z210," Membrane,  Peroxisome biogenesis,  Peroxisome, Reference proteome, Acetylation,  Transmembrane helix,  Transmembrane"
Q3UNZ8," Oxidoreductase, Acetylation,  Alternative splicing,  Reference proteome"
P47199," Phosphoprotein, Reference proteome,  Cytoplasm, Acetylation,  RNA-binding,  Oxidoreductase,  NADP"
Q9D1G1," Membrane,  Direct protein sequencing,  Autophagy,  GTP-binding,  Phosphoprotein,  Transport, Lipoprotein,  Methylation,  Nucleotide-binding,  Cytoplasm, Acetylation,  Protein transport,  Reference proteome, Prenylation"
Q921E2," GTP-binding,  Phosphoprotein,  Endosome,  Lipoprotein, Membrane,  Prenylation,  Golgi apparatus, Cytoplasmic vesicle, Reference proteome,  Nucleotide-binding"
P56371," Membrane,  GTP-binding, Nucleotide-binding,  Lipoprotein,  Endosome,  Phosphoprotein,  Prenylation,  Transport,  Methylation, Reference proteome,  Protein transport, Cytoplasm"
Q9R0M6," Acetylation,  GTP-binding,  Phosphoprotein,  Endosome,  Lipoprotein, Membrane,  Prenylation,  Cell membrane, Endoplasmic reticulum,  Golgi apparatus, 3D-structure,  Nucleotide-binding,  Transport,  Reference proteome, Protein transport,  Cytoplasmic vesicle"
O35551," Transport,  Apoptosis,  Coiled coil,  Alternative splicing,  Endosome,  Phosphoprotein, Cytoplasmic vesicle,  Cytoplasm, Acetylation,  Reference proteome,  Endocytosis, Protein transport"
Q6NXW6,"Nucleotide-binding,  Phosphoprotein,  Cell cycle,  Developmental protein, ATP-binding,  Nucleus,  Reference proteome,  DNA damage"
Q99N57," Phosphoprotein, Membrane, Nucleus,  Zinc-finger,  Cell membrane,  Methylation,  ATP-binding,  Mitochondrion,  Nucleotide-binding,  Transferase,  Cytoplasm,  Proto-oncogene, Alternative splicing, Serine/threonine-protein kinase,  Reference proteome,  Metal-binding,  Kinase,  Zinc"
Q9CT10," Transport,  Phosphoprotein, Reference proteome,  Cytoplasm, Acetylation,  Protein transport,  Nucleus"
Q9Z268," Phosphoprotein,  Zinc-finger, Reference proteome,  Repeat,  GTPase activation, Calcium,  Differentiation,  Metal-binding,  Zinc"
Q64701,"Transcription regulation,  Cell cycle, Phosphoprotein,  Tumor suppressor,  Chromatin regulator, Alternative splicing,  Nucleus,  Reference proteome,  Repressor,  Transcription"
Q8VCD6," Phosphoprotein, Membrane,  Reference proteome,  Transmembrane, Transmembrane helix"
Q9EPU0,"Nucleotide-binding,  Phosphoprotein,  Zinc-finger,  Methylation,  ATP-binding,  Hydrolase,  Helicase,  Repeat,  Cytoplasm, Alternative splicing,  Nucleus, RNA-binding,  Reference proteome, Metal-binding,  Nonsense-mediated mRNA decay,  Zinc"
Q8R361,"Golgi apparatus,  Direct protein sequencing,  Membrane,  Endosome,  Phosphoprotein,  Transport,  Mitochondrion,  Reference proteome, Cytoplasm, Protein transport,  Cytoplasmic vesicle"
Q9JJ43," Methylation,  mRNA processing,  Cytoplasm, Alternative splicing, mRNA splicing,  Nucleus,  RNA-binding,  Reference proteome"
Q32KG4," Reference proteome, Alternative splicing"
P27671," Phosphoprotein,  Ubl conjugation, Reference proteome,  Repeat, 3D-structure,  Guanine-nucleotide releasing factor"
Q8CGE9," Phosphoprotein,  Ubl conjugation,  Methylation, Cell junction,  Synapse,  GTPase activation,  Cytoplasm,  Cell projection,  Nucleus,  Reference proteome, Isopeptide bond, Repeat"
Q9Z2H2," Membrane, Signal transduction inhibitor,  Cytoplasm,  Nucleus,  Reference proteome, Cell membrane"
Q921J2," Membrane, Nucleotide-binding,  Lipoprotein,  Phosphoprotein,  Prenylation,  Golgi apparatus, GTP-binding,  Methylation,  Magnesium, 3D-structure,  Cytoplasm,  Endoplasmic reticulum,  Reference proteome,  Metal-binding"
Q6IFT4," GTPase activation,  Phosphoprotein, Reference proteome, Alternative splicing"
Q811P8," Phosphoprotein,  Endosome, Membrane, Synapse, Endoplasmic reticulum,  Golgi apparatus,  Methylation,  SH3 domain,  GTPase activation,  Cytoplasm, Alternative splicing,  Cell projection,  Reference proteome,  Cell junction"
Q91YM2," Membrane,  Cytoskeleton, Nucleotide-binding,  Phosphoprotein, GTP-binding, Repressor,  DNA-binding,  Repeat,  Lipid-binding,  Transcription regulation,  GTPase activation,  Cytoplasm,  Cell projection,  Nucleus,  Reference proteome,  Transcription, Cell membrane"
Q69ZJ7," Phosphoprotein, Membrane,  Repeat,  WD repeat,  Cytoplasm, Alternative splicing,  Guanine-nucleotide releasing factor,  Reference proteome"
Q3TIR3," Membrane, Phosphoprotein,  Cytoplasm,  Guanine-nucleotide releasing factor,  Reference proteome, Cell membrane"
P19253," Direct protein sequencing,  Phosphoprotein,  Ribosomal protein, Translation regulation, Polymorphism,  Tumor antigen,  Citrullination, Acetylation,  Reference proteome,  Ribonucleoprotein"
P27659," Phosphoprotein,  Ribosomal protein,  Ubl conjugation, Reference proteome,  Isopeptide bond,  Cytoplasm, Acetylation,  Nucleus,  Ribonucleoprotein"
P47911," Ribosomal protein, Ubl conjugation, Phosphoprotein,  Isopeptide bond,  Cytoplasm, Acetylation,  Endoplasmic reticulum,  Reference proteome,  Ribonucleoprotein"
P51410,"Ribosomal protein,  Tumor antigen,  Polymorphism, Acetylation,  Reference proteome,  Ribonucleoprotein"
P47955,"Ribosomal protein,  Phosphoprotein, Acetylation,  Reference proteome,  Ribonucleoprotein"
Q9Z275," Retinol-binding,  Transport, Sensory transduction,  Cytoplasm, Acetylation,  Reference proteome,  Vision"
Q99N96,"Ribosomal protein,  Phosphoprotein, Mitochondrion,  Transit peptide,  Reference proteome,  Ribonucleoprotein"
Q9D773," Ribosomal protein, Mitochondrion, Transit peptide,  Reference proteome,  Ribonucleoprotein"
Q9D0Q7," Ribosomal protein, Mitochondrion, Transit peptide,  Reference proteome,  Ribonucleoprotein"
Q9CZ83," Phosphoprotein,  Ribosomal protein,  Mitochondrion, Alternative splicing,  Transit peptide,  Reference proteome, Ribonucleoprotein"
Q5HZJ0," Phosphoprotein, Nucleus, Endonuclease,  Ribosome biogenesis,  Magnesium,  Hydrolase,  Nuclease,  Repeat,  Manganese, RNA-binding,  Reference proteome,  Metal-binding,  Zinc"
Q99MV7," Phosphoprotein,  Zinc-finger,  Alternative splicing,  Developmental protein, Reference proteome,  Repeat,  Spermatogenesis, Differentiation,  Cytoplasm, Acetylation,  Nucleus,  Metal-binding,  Zinc"
Q9JI90," Phosphoprotein,  Zinc-finger, Transferase,  Ubl conjugation, Reference proteome,  Repeat,  Transcription regulation,  Cytoplasm,  Ubl conjugation pathway, Alternative splicing,  Nucleus,  Transcription,  Metal-binding,  Zinc"
Q8VC56," DNA repair,  Zinc,  Phosphoprotein,  Zinc-finger, Ubl conjugation pathway,  Ubl conjugation, Reference proteome,  Cell division,  Chromosome, Cell cycle,  Cytoplasm,  Chromatin regulator, DNA damage,  Mitosis,  Nucleus,  Transferase,  Metal-binding,  Telomere"
P49312," Transport,  Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Ubl conjugation, mRNA transport,  Methylation,  Repeat,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Reference proteome, Isopeptide bond, Ribonucleoprotein,  Spliceosome"
Q9Z2I4," Membrane,  Receptor,  Phosphoprotein, Disulfide bond,  Developmental protein,  Immunoglobulin domain, Neurogenesis,  Chemotaxis,  Repeat, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Differentiation,  Signal, Transmembrane"
Q3TDK6," Alternative splicing, Cytoplasmic vesicle,  Synapse, Acetylation,  Cell projection,  Nucleus,  Reference proteome,  Cell junction"
P47708," Membrane,  Transport,  Zinc,  Ubl conjugation,  Cell membrane,  Methylation, Cytoplasmic vesicle, Phosphoprotein, Reference proteome, 3D-structure,  Lipid-binding,  Repeat,  Synapse,  Calcium,  Postsynaptic cell membrane,  Protein transport,  Cell projection, Zinc-finger,  Metal-binding,  Cell junction"
Q8CFI7,"Nucleotidyltransferase,  Phosphoprotein,  Zinc-finger,  Methylation,  Magnesium, DNA-directed RNA polymerase,  Transferase,  Nucleus,  Reference proteome,  Metal-binding, Transcription,  Zinc"
Q9JJ80," Reference proteome,  Ribosome biogenesis, Nucleus"
A2ALS5," Membrane,  Golgi apparatus, Phosphoprotein,  GTPase activation, Alternative splicing,  Reference proteome"
Q5SVL6," Phosphoprotein, Reference proteome,  GTPase activation,  Cytoplasm, Alternative splicing"
Q9DBG6,"Membrane, Ubl conjugation,  Isopeptide bond, 3D-structure,  Glycoprotein,  Endoplasmic reticulum,  Transmembrane helix,  Reference proteome,  Signal,  Transmembrane"
Q8R1F9," tRNA processing, Hydrolase,  Nucleus,  Reference proteome,  rRNA processing"
Q8K4Q0," Phosphoprotein, Reference proteome,  Repeat,  WD repeat,  Cytoplasm, Alternative splicing,  Lysosome"
Q9D6S7," Mitochondrion, 3D-structure,  Protein biosynthesis, Transit peptide,  Reference proteome"
P97351," Ribosomal protein, Ubl conjugation, Phosphoprotein,  Isopeptide bond,  Cytoplasm, Acetylation,  Nucleus,  Ribonucleoprotein,  Reference proteome,  Differentiation"
P27048," Methylation, Reference proteome,  Repeat,  mRNA processing,  mRNA splicing,  Nucleus,  Ribonucleoprotein,  RNA-binding, Cytoplasm,  Spliceosome"
Q9D7N3," Ribosomal protein, Mitochondrion, Transit peptide,  Reference proteome,  Ribonucleoprotein"
P58059,"Mitochondrion,  Ribonucleoprotein,  Reference proteome,  Ribosomal protein"
Q8VE22,"Ribosomal protein,  Mitochondrion, Acetylation,  Reference proteome,  Ribonucleoprotein"
Q9D125," Ribosomal protein,  Mitochondrion, Direct protein sequencing,  Reference proteome, Ribonucleoprotein"
Q61733," Ribosomal protein, Mitochondrion, Transit peptide,  Reference proteome,  Ribonucleoprotein"
Q9JIK9,"Mitochondrion,  Ribonucleoprotein,  Reference proteome,  Ribosomal protein"
Q9D7H3," Ligase,  Nucleotide-binding, ATP-binding,  Nucleus,  Reference proteome"
Q8K0T0," Phosphoprotein, Membrane,  Golgi apparatus,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  Transmembrane, Transmembrane helix"
Q8C8C1," Membrane,  Reference proteome,  Transmembrane, Cell membrane, Transmembrane helix"
Q80ZI2," Membrane,  Reference proteome,  Transmembrane, Cell membrane, Transmembrane helix"
O08576," Reference proteome,  Phosphoprotein,  Coiled coil, Alternative splicing"
Q9WTM5," DNA repair, Nucleotide-binding,  Phosphoprotein, DNA recombination, Transcription,  Ubl conjugation,  ATP-binding,  Helicase,  Hydrolase,  Isopeptide bond,  Transcription regulation,  Chromatin regulator, Acetylation,  Nucleus,  Reference proteome,  DNA damage,  Activator"
E9Q401," Membrane,  Phosphoprotein, Ligand-gated ion channel, Calmodulin-binding,  Developmental protein, Transport,  Ion transport,  Calcium channel, 3D-structure,  Calcium,  Transmembrane helix,  Sarcoplasmic reticulum,  Reference proteome,  Ion channel, Repeat,  Transmembrane,  Calcium transport"
P56565," Repeat, S-nitrosylation,  Cytoplasm, Calcium,  Reference proteome,  Metal-binding"
P97352," Secreted,  Copper, Transport, Phosphoprotein,  Repeat, 3D-structure,  Lipid-binding,  Calcium,  Cytoplasm,  Protein transport,  Reference proteome,  Metal-binding"
Q9JIS8," Membrane,  Transport,  Phosphoprotein,  Symport, Potassium transport,  Potassium,  Ion transport, Chloride,  Glycoprotein,  Reference proteome,  Transmembrane, Transmembrane helix"
Q91V14," Membrane,  Transport,  Potassium transport, Symport,  Cell membrane,  Potassium,  Ion transport, Phosphoprotein,  Chloride, Alternative splicing,  Cell projection,  Glycoprotein, Direct protein sequencing,  Reference proteome,  Transmembrane helix,  Transmembrane"
Q504N2," Membrane,  Transport,  Ion transport, Reference proteome, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Transmembrane"
Q9EPR4," Membrane,  Transport,  Symport,  Cell membrane,  Ion transport, Phosphoprotein,  Sodium transport, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Sodium,  Reference proteome, Transmembrane"
Q9CQS4," Transport,  Phosphoprotein, Membrane, Reference proteome,  Mitochondrion,  Repeat,  Transmembrane helix,  Transmembrane,  Mitochondrion outer membrane"
Q60714," Membrane,  Transport,  Fatty acid metabolism,  Ligase, Lipid transport,  Nucleotide-binding, Transmembrane,  Cytoplasm,  Transmembrane helix,  Reference proteome, Cell membrane,  Lipid metabolism"
O88561," Membrane,  Fatty acid metabolism,  Ligase,  ATP-binding,  Mitochondrion, Reference proteome,  Nucleotide-binding, Alternative splicing,  Transmembrane helix,  Transmembrane, Lipid metabolism"
Q91VE0," Membrane,  Transport,  Fatty acid metabolism,  Ligase, Endoplasmic reticulum, Lipid transport,  Nucleotide-binding, Transmembrane,  Transmembrane helix,  Reference proteome,  Lipid metabolism"
D3YVE8," Phosphoprotein, Membrane,  Repeat,  Reference proteome,  Transmembrane, Transmembrane helix"
Q8CFE6," Membrane,  Transport,  Phosphoprotein, Sodium transport,  Symport,  Cell membrane, Ubl conjugation,  Disulfide bond, Amino-acid transport,  Glycoprotein,  Transmembrane helix,  Sodium,  Reference proteome, Ion transport,  Transmembrane"
Q9DCP2," Membrane,  Transport, Sodium transport,  Antiport,  Symport,  Cell membrane,  Ion transport,  Disulfide bond, Amino-acid transport, Glycoprotein,  Transmembrane helix,  Sodium,  Reference proteome,  Transmembrane"
Q8CFS3," Membrane,  Transport, Synapse,  Alternative splicing,  Antiport,  Symport,  Ion transport, Phosphoprotein,  Sodium transport, Alternative promoter usage,  Glycoprotein,  Cell projection,  Transmembrane helix,  Sodium,  Reference proteome,  Transmembrane, Cell membrane,  Cell junction"
Q8BG16," Membrane,  Transport,  Phosphoprotein, Sodium transport,  Symport,  Ion transport, Amino-acid transport, Neurotransmitter transport,  Glycoprotein,  Transmembrane helix,  Sodium,  Reference proteome,  Transmembrane"
Q8BJI1," Transport,  Phosphoprotein, Membrane, Symport, Cell junction,  Synapse,  Glycoprotein,  Cell projection,  Neurotransmitter transport,  Transmembrane helix,  Reference proteome,  Transmembrane,  Cytoplasmic vesicle"
Q9R1T2," Phosphoprotein,  Alternative splicing,  Ligase, Reference proteome,  Ubl conjugation pathway, Acetylation,  Nucleus"
Q62255," Phosphoprotein, Reference proteome,  DNA-binding,  Repeat,  Transcription regulation, Zinc-finger, Alternative splicing,  Nucleus,  Transcription,  Metal-binding,  Zinc"
Q9DA37," Membrane, Endoplasmic reticulum, Sphingolipid metabolism,  Transferase,  Transmembrane helix,  Reference proteome,  Transmembrane,  Lipid metabolism"
Q60648,"Lysosome,  Hydrolase,  Disulfide bond, 3D-structure,  Sphingolipid metabolism,  Glycoprotein,  Reference proteome,  Signal,  Lipid metabolism"
Q61207," Direct protein sequencing, Lysosome,  Secreted,  Disulfide bond,  Repeat, 3D-structure,  Glycoprotein,  Reference proteome,  Signal"
Q9D1J3," Transport,  Phosphoprotein, Translation regulation, Reference proteome,  DNA-binding,  mRNA transport,  Transcription regulation, Acetylation,  Nucleus,  RNA-binding,  Transcription"
O35874," Membrane,  Transport,  Phosphoprotein, Symport, Acetylation,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Transmembrane"
Q6PGE7," Membrane,  Transport,  Symport, Phosphoprotein, Amino-acid transport,  Glycoprotein,  Neurotransmitter transport,  Reference proteome,  Transmembrane, Transmembrane helix"
Q8C8N2," Membrane,  Phosphoprotein, Reference proteome,  Transcription regulation,  Cytoplasm, Alternative splicing,  Nucleus,  Signal transduction inhibitor,  Repressor,  Transmembrane, Transcription, Transmembrane helix"
Q8K021," Transport,  Direct protein sequencing,  Phosphoprotein,  Endosome, Membrane,  Golgi apparatus, Acetylation,  Protein transport,  Transmembrane helix,  Reference proteome, Transmembrane"
Q9ERN0," Membrane,  Transport,  Phosphoprotein,  Golgi apparatus, Endosome, Reference proteome,  Protein transport,  Transmembrane helix,  Transmembrane"
Q8BRF7,"Golgi apparatus,  Membrane,  Phosphoprotein,  Transport, Reference proteome,  Cytoplasm,  ER-Golgi transport, Alternative splicing,  Endoplasmic reticulum,  Protein transport"
Q03517," Direct protein sequencing,  Secreted,  Cleavage on pair of basic residues, Phosphoprotein,  Sulfation, Calcium,  Reference proteome,  Signal"
Q9JLI6," Direct protein sequencing,  Phosphoprotein,  Alternative splicing, Lyase,  Pyridoxal phosphate,  Cytoplasm, Acetylation,  Reference proteome, Transferase"
Q99KD3," Membrane,  Transport,  Mitochondrion,  Repeat,  Calcium, Alternative splicing, Mitochondrion inner membrane,  Reference proteome,  Transmembrane,  Metal-binding, Transmembrane helix"
P97952," Membrane,  Transport,  Ion transport,  Disulfide bond, Reference proteome,  Sodium transport,  Sodium channel, Transmembrane,  Voltage-gated channel, Immunoglobulin domain,  Glycoprotein,  Cell projection,  Sodium,  Transmembrane helix,  Ion channel,  Signal, Cell membrane"
Q62205," Membrane, Sodium,  Phosphoprotein,  Coiled coil,  Transport,  Ubl conjugation,  Disulfide bond,  Repeat,  Sodium channel,  Voltage-gated channel, Ion transport,  Cell projection,  Sodium transport,  Reference proteome,  Ion channel,  Transmembrane, Cell membrane, Transmembrane helix"
Q3TMH2," Reference proteome, Direct protein sequencing"
Q4V9Z5," Membrane,  Cell membrane,  Disulfide bond,  Repeat,  Sushi, Glycoprotein, Alternative splicing,  Endoplasmic reticulum,  Transmembrane helix,  Reference proteome,  Signal, Transmembrane"
Q9D1M0," Membrane,  Transport,  Phosphoprotein, Nuclear pore complex, Reference proteome,  mRNA transport,  Repeat,  WD repeat, ER-Golgi transport, Acetylation,  Endoplasmic reticulum,  Cytoplasmic vesicle,  Nucleus,  Protein transport,  Translocation,  Lysosome"
Q8R2U0," Membrane, Mitosis,  Isopeptide bond,  Reference proteome,  Transport,  Cell cycle,  mRNA transport,  Cell division,  WD repeat,  Chromosome,  Centromere, Ubl conjugation, Chromosome partition,  Phosphoprotein,  Repeat,  Kinetochore,  Lysosome, Alternative splicing,  Nucleus,  Translocation,  Nuclear pore complex, Protein transport"
Q62179," Membrane,  Phosphoprotein, Reference proteome,  Disulfide bond,  Transmembrane,  Neurogenesis, Immunoglobulin domain,  Glycoprotein,  Transmembrane helix,  Differentiation, Developmental protein,  Signal"
Q9QUR8," Membrane, Lipoprotein,  Developmental protein,  Immunoglobulin domain,  Methylation,  Disulfide bond,  Neurogenesis, Glycoprotein,  Inflammatory response, Signal,  Reference proteome,  Differentiation,  GPI-anchor, Cell membrane"
Q8C650," Cytoskeleton,  Phosphoprotein,  Cell cycle, GTP-binding,  Cell division,  Nucleotide-binding,  Cytoplasm, Alternative splicing,  Reference proteome"
Q9ERR7,"Endoplasmic reticulum,  Signal,  Selenocysteine,  Reference proteome"
O55131,"Chromosome,  Cytoskeleton,  GTP-binding,  Coiled coil,  Centromere,  Cell cycle, Nucleotide-binding,  Phosphoprotein,  Flagellum,  Cell division,  Kinetochore,  Spermatogenesis,  Cytoplasm, Acetylation,  Mitosis,  Cell projection, Direct protein sequencing,  Reference proteome,  Differentiation,  Cilium"
Q80UG5," Direct protein sequencing,  GTP-binding,  Alternative splicing,  Cell cycle, Phosphoprotein,  Cell division,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome, Cytoskeleton"
Q9QZI8," Myristate,  Phospholipid biosynthesis,  Lipoprotein, Membrane, Endoplasmic reticulum, Phosphoprotein,  Transmembrane helix,  Phospholipid metabolism,  Reference proteome,  Transmembrane,  Lipid biosynthesis,  Lipid metabolism"
Q8BHJ6," Membrane,  Phospholipid biosynthesis, Phospholipid metabolism,  Immunity,  Cell membrane, Antiviral defense,  Glycoprotein,  Innate immunity,  Reference proteome,  Transmembrane, Lipid biosynthesis,  Lipid metabolism, Transmembrane helix"
Q99K85," Phosphoprotein, Reference proteome,  Serine biosynthesis,  Aminotransferase,  Pyridoxal phosphate,  Transferase, Acetylation, Direct protein sequencing,  Amino-acid biosynthesis"
O88892," Reference proteome, Cytoplasm,  Nucleus"
Q80UK0,"Reference proteome,  Repeat"
P58006," Phosphoprotein,  Reference proteome,  Nucleus,  Oxidoreductase, Cytoplasm"
Q8BH49," Phosphoprotein,  Endosome,  Golgi apparatus, Cytoplasmic vesicle, Reference proteome"
Q9EQU5," Alternative splicing,  Ubl conjugation, Endoplasmic reticulum,  Chaperone,  Methylation, Phosphoprotein,  DNA-binding,  Isopeptide bond,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome"
Q8K4Z5," Acetylation,  Direct protein sequencing,  Phosphoprotein, mRNA processing,  Ubl conjugation, Reference proteome,  Repeat,  Isopeptide bond, 3D-structure,  mRNA splicing,  Nucleus,  Spliceosome"
Q99NB9," Phosphoprotein,  Ubl conjugation,  Repeat,  Isopeptide bond,  Citrullination,  mRNA processing, Acetylation, mRNA splicing,  Nucleus, RNA-binding,  Reference proteome,  Spliceosome"
Q921M3,"Phosphoprotein,  mRNA processing,  mRNA splicing, Alternative splicing,  Nucleus,  Reference proteome,  Spliceosome"
Q99JR1," Membrane,  Direct protein sequencing,  Transport,  Amino-acid transport,  Mitochondrion inner membrane, Reference proteome, Mitochondrion, Acetylation,  Transmembrane helix,  Transmembrane,  One-carbon metabolism"
Q91V61," Membrane,  Transport,  Alternative splicing,  Amino-acid transport,  Mitochondrion, Reference proteome, Acetylation,  Transmembrane helix, Direct protein sequencing,  Transmembrane,  One-carbon metabolism"
Q925N1," Membrane,  Transport,  Amino-acid transport,  Mitochondrion, Acetylation, Mitochondrion inner membrane,  Reference proteome,  Transmembrane, Transmembrane helix"
Q8BJU0," Alternative splicing,  Chaperone, Phosphoprotein,  Repeat,  Cytoplasm, Acetylation,  Nucleus,  TPR repeat,  Reference proteome"
Q62419," Membrane,  Coiled coil,  Endosome, Cell junction, Phosphoprotein,  Lipid-binding,  Cytoplasm,  Cell projection, Direct protein sequencing,  Reference proteome,  Endocytosis,  SH3 domain"
Q62421," Membrane,  Endosome, Reference proteome,  Lipid-binding,  Cytoplasm,  Endocytosis, Coiled coil,  SH3 domain"
Q91VW3," Acetylation,  Direct protein sequencing, Reference proteome, 3D-structure,  Cytoplasm,  Nucleus"
D3YZU1," Phosphoprotein, Synapse,  Methylation, Neurogenesis,  SH3 domain, ANK repeat,  Repeat,  Cytoplasm,  Reference proteome,  Differentiation,  Cell junction"
Q80Z38," Membrane,  Phosphoprotein,  SH3-binding,  Cell membrane,  Synapse, SH3 domain, Alternative splicing,  Cell projection,  Glycoprotein,  Reference proteome, Cytoplasm,  Cell junction"
P98083," Growth regulation,  Phosphoprotein,  Alternative splicing,  SH2 domain,  Mitochondrion, Reference proteome,  Alternative initiation, Acetylation,  Angiogenesis, Cytoplasm"
Q61120," Reference proteome,  SH2 domain, Phosphoprotein"
Q8R3V5," Phosphoprotein,  Coiled coil,  Alternative splicing, Reference proteome,  Cytoplasm, Acetylation,  SH3 domain"
Q8R559," Membrane,  Direct protein sequencing, Disulfide bond,  Alternative splicing,  SH3-binding,  Immunoglobulin domain, Phosphoprotein,  Repeat, 3D-structure,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Signal, Transmembrane"
Q8C3Q5," Membrane, Synapse,  Cell membrane, Phosphoprotein,  Postsynaptic cell membrane,  Glycoprotein, Alternative splicing,  Transmembrane helix,  Reference proteome,  Signal,  Transmembrane,  Cell junction"
Q78RX3," Reference proteome, Membrane,  Transmembrane helix,  Transmembrane"
Q8C263," Cytoskeleton,  Phosphoprotein,  Centromere,  Microtubule, Kinetochore,  Cell division,  Chromosome, Cell cycle,  Cytoplasm,  Mitosis,  Reference proteome"
O54988," Apoptosis,  Coiled coil,  Phosphoprotein,  ATP-binding, Kinase,  Nucleotide-binding,  Transferase,  Cytoplasm, Serine/threonine-protein kinase, Alternative splicing,  Reference proteome"
Q8BX32," DNA repair,  Zinc-finger, Endonuclease, Reference proteome,  Hydrolase,  Nuclease,  DNA recombination, Alternative splicing,  Nucleus,  DNA damage,  Metal-binding,  Zinc"
Q7TN29," Zinc-finger, Phosphoprotein,  GTPase activation,  Cytoplasm, Alternative splicing,  Reference proteome,  Metal-binding,  Zinc"
Q9R0P4," Phosphoprotein, Ubl conjugation,  Isopeptide bond, Acetylation,  Reference proteome"
Q9CU62," Acetylation,  DNA repair,  Phosphoprotein,  Coiled coil,  Cell cycle, Ubl conjugation, Mitosis,  ATP-binding,  Cell division, 3D-structure,  Chromosome,  Nucleotide-binding,  Meiosis,  Nucleus,  Reference proteome,  DNA damage, Centromere"
Q9CW03," Acetylation,  DNA repair,  Phosphoprotein,  Coiled coil,  Cell cycle, Ubl conjugation, Mitosis,  ATP-binding,  Cell division, 3D-structure,  Chromosome,  Nucleotide-binding,  Meiosis,  Nucleus,  Reference proteome,  DNA damage, Centromere"
Q3TKT4,"Nucleotide-binding,  Phosphoprotein,  Alternative splicing,  Ubl conjugation,  Bromodomain, Chromatin regulator,  ATP-binding,  Helicase,  Hydrolase,  Isopeptide bond,  Transcription regulation,  Neurogenesis, Acetylation, RNA-binding,  Nucleus,  Reference proteome,  Repressor,  Transcription,  Activator"
Q8BKX6," DNA repair,  Alternative splicing,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Nonsense-mediated mRNA decay,  Serine/threonine-protein kinase,  Cytoplasm, Acetylation,  Manganese,  Nucleus, Direct protein sequencing,  Reference proteome,  DNA damage, Metal-binding, Transferase,  Kinase"
Q99ME3," Coiled coil,  Ubl conjugation,  Repeat, ANK repeat,  Reference proteome"
