,Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name,Biological Process Label,Molecular Function Label,Cellular Component Label
950,Q71RI9,KAT3_MOUSE,Mus musculus (Mouse)," Acetylation,  Alternative splicing,  Reference proteome,  Aminotransferase,  Lyase, Pyridoxal phosphate, 3D-structure,  Transferase","mitochondrion HDA, cytoplasm IBA","GO:0005737, GO:0005739","pyridoxal phosphate binding IEA, kynurenine-oxoglutarate transaminase activity IDA, protein homodimerization activity IPI, kynurenine-glyoxylate transaminase activity IDA, cysteine-S-conjugate beta-lyase activity IEA","GO:0016212, GO:0042803, GO:0047804, GO:0030170, GO:0047315","kynurenine metabolic process IDA, cellular amino acid metabolic process IDA, biosynthetic process IEA, 2-oxoglutarate metabolic process IDA","GO:0070189, GO:0006103, GO:0006520, GO:0009058",Kynurenine--oxoglutarate transaminase 3,"GO:0008152, GO:0009987","GO:0005488, GO:0003824","GO:0043229, GO:0043227"
951,Q76KB5,Q76KB5_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Coiled coil {ECO:0000256|SAM:Coils}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}","meiotic nuclear membrane microtubule tethering complex IEA, integral component of membrane IEA","GO:0034993, GO:0016021",actin filament binding IEA,GO:0051015,,,,,GO:0005488,"GO:0140513, GO:0098796"
952,Q78ED8,Q78ED8_MOUSE,Mus musculus (Mouse),"Cell projection {ECO:0000256|ARBA:ARBA00023273}, Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Disulfide bond {ECO:0000256|ARBA:ARBA00023157}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, Secreted {ECO:0000256|ARBA:ARBA00022525}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|SAM:SignalP}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989}","lamellipodium IEA, integral component of membrane IEA, filopodium IEA, cytoskeleton IEA, cytoplasm IEA, extracellular region IEA, plasma membrane IEA","GO:0030027, GO:0030175, GO:0005886, GO:0005576, GO:0005856, GO:0005737, GO:0016021",stem cell factor receptor binding IEA,GO:0005173,cell adhesion IEA,GO:0007155,Kit ligand {ECO:0000256|ARBA:ARBA00017304},"GO:0009987, GO:0022610",GO:0005488,"GO:0042995, GO:0043228, GO:0043229"
953,Q7TMI0,Q7TMI0_MOUSE,Mus musculus (Mouse),Proteasome {ECO:0000256|ARBA:ARBA00022942},proteasome complex IEA,GO:0000502,,,proteasome assembly IEA,GO:0043248,,GO:0009987,,"GO:0140535, GO:1902494"
954,Q7TMN5,Q7TMN5_MOUSE,Mus musculus (Mouse),"Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}","actin filament ISO, membrane IDA, actin cap IDA, neuronal cell body ISO, postsynaptic density ISO, dendritic spine ISO, dendrite ISO, myofibril IEA","GO:0043197, GO:0030425, GO:0030478, GO:0005884, GO:0014069, GO:0016020, GO:0043025, GO:0030016","myosin binding IEA, calmodulin binding IEA, actin binding ISO","GO:0017022, GO:0005516, GO:0003779","muscle contraction IEA, actin filament bundle assembly ISO, positive regulation of protein binding ISO, regulation of smooth muscle contraction TAS","GO:0032092, GO:0051017, GO:0006940, GO:0006936",,"GO:0032501, GO:0009987, GO:0065007",GO:0005488,"GO:0043229, GO:0099572, GO:0042995, GO:0043228, GO:0044297, GO:0098794, GO:0099080"
955,Q7TN11,Q7TN11_MOUSE,Mus musculus (Mouse),"Guanine-nucleotide releasing factor {ECO:0000256|ARBA:ARBA00022658}, Coiled coil {ECO:0000256|SAM:Coils}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}",,,guanyl-nucleotide exchange factor activity IEA,GO:0005085,small GTPase mediated signal transduction IEA,GO:0007264,,"GO:0065007, GO:0009987",GO:0098772,
956,Q7TN16,FT,Mus musculus (Mouse),"Metal-binding,  Membrane, Cell membrane,  Reference proteome,  Signal,  EGF-like domain,  Disulfide bond,  Secreted,  Zinc,  Glycoprotein,  Repeat","cytoplasm ISO, nucleus ISO, cell surface IDA, integral component of plasma membrane IDA, extracellular region IEA, plasma membrane ISO","GO:0005634, GO:0005576, GO:0009986, GO:0005737, GO:0005886, GO:0005887","zinc ion binding ISS, catalytic activity IEA, hedgehog family protein binding ISO","GO:0008270, GO:0003824, GO:0097108","epithelial tube branching involved in lung morphogenesis IMP, negative regulation of apoptotic process ISO, negative regulation of smoothened signaling pathway IDA, neuroblast proliferation IGI, signal transduction IDA, dorsal/ventral pattern formation IGI, skeletal system morphogenesis IMP, negative regulation of signal transduction ISS, negative regulation of angiogenesis NAS, animal organ morphogenesis IMP, regulation of fibroblast growth factor receptor signaling pathway IMP","GO:0009887, GO:0007405, GO:0016525, GO:0009968, GO:0043066, GO:0040036, GO:0060441, GO:0045879, GO:0007165, GO:0009953, GO:0048705",Hedgehog-interacting protein,"GO:0032501, GO:0065007, GO:0009987, GO:0032502",GO:0005488,"GO:0016021, GO:0043229, GO:0031226, GO:0043227"
957,Q7TNG4,Q7TNG4_MOUSE,Mus musculus (Mouse),"Chromosome {ECO:0000256|ARBA:ARBA00022454}, Coiled coil {ECO:0000256|SAM:Coils}, Meiosis {ECO:0000256|ARBA:ARBA00023254}","cohesin complex IEA, nucleus IEA","GO:0005634, GO:0008278",chromatin binding IEA,GO:0003682,"mitotic sister chromatid cohesion IEA, DNA repair IEA","GO:0006281, GO:0007064",,"GO:0050896, GO:0009987, GO:0008152",GO:0005488,"GO:0043229, GO:0043227"
958,Q7TPM8,Q7TPM8_MOUSE,Mus musculus (Mouse),"SH2 domain {ECO:0000256|ARBA:ARBA00022999, ECO:0000256|PROSITE-, ProRule:PRU00191}, Cell junction {ECO:0000256|ARBA:ARBA00022949}","focal adhesion IDA, cell-substrate junction IDA","GO:0005925, GO:0030055",actin binding TAS,GO:0003779,"fibroblast migration IMP, cell-substrate junction assembly IMP","GO:0010761, GO:0007044",,"GO:0040011, GO:0009987",GO:0005488,GO:0030054
959,Q7TR10,Q7TR10_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IEA","GO:0005886, GO:0016021","olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987",GO:0060089,
960,Q7TRB8,Q7TRB8_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IEA","GO:0005886, GO:0016021","odorant binding IBA, olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0005549, GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987","GO:0005488, GO:0060089",
961,Q7TRT1,Q7TRT1_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IEA","GO:0005886, GO:0016021","odorant binding IBA, olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0005549, GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987","GO:0005488, GO:0060089",
962,Q7TSE6,ST38L_MOUSE,Mus musculus (Mouse)," Membrane,  Alternative splicing, Acetylation,  Metal-binding, Nucleotide-binding,  Reference proteome, Serine/threonine-protein kinase,  Magnesium,  Phosphoprotein, Cytoskeleton,  Actin-binding,  ATP-binding,  Kinase,  Cytoplasm,  Transferase","cytoplasm IDA, cytosol ISO, membrane IEA, actin cytoskeleton IDA","GO:0005737, GO:0015629, GO:0005829, GO:0016020","protein serine/threonine kinase activity ISS, actin binding IEA, magnesium ion binding ISS, ATP binding ISS","GO:0004674, GO:0005524, GO:0000287, GO:0003779","intracellular signal transduction ISS, protein phosphorylation ISS, peptidyl-serine phosphorylation IBA, regulation of cellular component organization IDA","GO:0018105, GO:0006468, GO:0035556, GO:0051128",Serine/threonine-protein kinase 38-like,"GO:0008152, GO:0065007, GO:0009987","GO:0005488, GO:0003824","GO:0043228, GO:0043229"
963,Q80TG5,Q80TG5_MOUSE,Mus musculus (Mouse),"SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Calcium {ECO:0000256|ARBA:ARBA00022837}, Coiled coil {ECO:0000256|SAM:Coils}, ProRule:PRU00192}",,,"guanyl-nucleotide exchange factor activity IEA, calcium ion binding IEA","GO:0005509, GO:0005085",endocytosis IEA,GO:0006897,,"GO:0051179, GO:0009987","GO:0005488, GO:0098772",
964,Q80TQ3,Q80TQ3_MOUSE,Mus musculus (Mouse),"ECO:0000256|RuleBase:RU000685}, Intermediate filament {ECO:0000256|ARBA:ARBA00022754,, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}",neurofilament IEA,GO:0005883,,,axon development IEA,GO:0061564,,GO:0009987,,GO:0099080
965,Q80TX7,Q80TX7_MOUSE,Mus musculus (Mouse),"Apoptosis {ECO:0000256|ARBA:ARBA00022703}, Mitochondrion inner membrane {ECO:0000256|ARBA:ARBA00022792}, Transit peptide {ECO:0000256|ARBA:ARBA00022946}, Membrane {ECO:0000256|ARBA:ARBA00022792, ECO:0000256|ARBA:ARBA00022989}, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Lipid-binding {ECO:0000256|ARBA:ARBA00023121}, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}, Mitochondrion {ECO:0000256|ARBA:ARBA00022792}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}","integral component of membrane IEA, mitochondrial crista ISS, dendrite ISS, mitochondrial outer membrane ISS, mitochondrial intermembrane space ISS","GO:0030425, GO:0030061, GO:0005741, GO:0016021, GO:0005758","lipid binding IEA, GTPase activity IEA, GTP binding IEA","GO:0003924, GO:0005525, GO:0008289","apoptotic process IEA, inner mitochondrial membrane organization ISS, visual perception ISS, negative regulation of apoptotic process ISS","GO:0007007, GO:0007601, GO:0043066, GO:0006915","Dynamin-like 120 kDa protein, form S1 {ECO:0000256|ARBA:ARBA00019958}","GO:0032501, GO:0065007, GO:0009987","GO:0005488, GO:0003824","GO:0042995, GO:0031974, GO:0019867, GO:0031090"
966,Q80U54,Q80U54_MOUSE,Mus musculus (Mouse),,,,,,"transcription, DNA-templated IEA",GO:0006351,,"GO:0008152, GO:0009987",,
967,Q80U79,Q80U79_MOUSE,Mus musculus (Mouse),"Repeat {ECO:0000256|ARBA:ARBA00022737}, Centromere {ECO:0000256|ARBA:ARBA00023328}, Kinetochore {ECO:0000256|ARBA:ARBA00022838}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}","condensed chromosome kinetochore IEA, cytoplasm IEA","GO:0005737, GO:0000777",,,,,,,,"GO:0043228, GO:0043229, GO:0099080"
968,Q80UP1,Q80UP1_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}","clathrin-coated pit IEA, clathrin-coated vesicle IEA","GO:0005905, GO:0030136","phosphatidylinositol binding IEA, actin binding IEA, clathrin binding IEA","GO:0035091, GO:0030276, GO:0003779","apoptotic process IEA, endocytosis IEA, regulation of clathrin-dependent endocytosis IEA","GO:0006897, GO:2000369, GO:0006915",,"GO:0051179, GO:0065007, GO:0009987",GO:0005488,"GO:0098590, GO:0043227"
969,Q80UT3,Q80UT3_MOUSE,Mus musculus (Mouse),"Protein biosynthesis {ECO:0000256|ARBA:ARBA00022768}, Elongation factor {ECO:0000256|ARBA:ARBA00022768}",,,translation elongation factor activity IEA,GO:0003746,,,,,"GO:0005488, GO:0045182",
970,Q80WG5,FT,Mus musculus (Mouse)," Membrane,  Acetylation,  Reference proteome,  Differentiation,  Transmembrane,  Leucine-rich repeat,  Cell membrane,  Disulfide bond, Glycoprotein,  Ion channel, Transmembrane helix,  Ion transport,  Transport, 3D-structure, Phosphoprotein,  Repeat","integral component of plasma membrane IDA, ion channel complex IDA, cell surface ISO, plasma membrane ISS","GO:0009986, GO:0005886, GO:0034702, GO:0005887","identical protein binding IPI, volume-sensitive anion channel activity IDA","GO:0042802, GO:0005225","aspartate transmembrane transport ISO, anion transport ISS, taurine transport ISO, cell volume homeostasis ISS, pre-B cell differentiation IMP, protein hexamerization IDA, anion transmembrane transport IDA, response to osmotic stress ISS","GO:0034214, GO:0098656, GO:0006884, GO:0006820, GO:0015810, GO:0015734, GO:0002329, GO:0006970",Volume-regulated anion channel subunit LRRC8A,"GO:0050896, GO:0051179, GO:0032502, GO:0065007, GO:0002376, GO:0009987","GO:0005488, GO:0005215","GO:0016021, GO:1990351, GO:0098796, GO:0031226"
971,Q80X81,Q80X81_MOUSE,Mus musculus (Mouse),"Transferase {ECO:0000256|RuleBase:RU003557}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Acyltransferase {ECO:0000256|RuleBase:RU003557}, Proteomics identification {ECO:0000213|EPD:Q80X81,, Acetylation {ECO:0000256|ARBA:ARBA00022990}, ECO:0000213|MaxQB:Q80X81, ECO:0000213|PeptideAtlas:Q80X81}","cytoplasm ISO, cytosol ISO, nucleolus ISO, mitochondrion HDA, nucleoplasm ISO","GO:0005654, GO:0005739, GO:0005737, GO:0005829, GO:0005730","acetyl-CoA C-acyltransferase activity IBA, acetyl-CoA C-acetyltransferase activity ISO","GO:0003988, GO:0003985",fatty acid beta-oxidation IBA,GO:0006635,,"GO:0008152, GO:0009987",GO:0003824,"GO:0043229, GO:0043228, GO:0043227"
972,Q80YW7,Q80YW7_MOUSE,Mus musculus (Mouse),"Isomerase {ECO:0000256|PROSITE-ProRule:PRU00277}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:Q80YW7,, ECO:0000213|MaxQB:Q80YW7, ECO:0000213|PeptideAtlas:Q80YW7}, Coiled coil {ECO:0000256|SAM:Coils}, Rotamase {ECO:0000256|PROSITE-ProRule:PRU00277}",,,peptidyl-prolyl cis-trans isomerase activity IEA,GO:0003755,,,Peptidylprolyl isomerase {ECO:0000256|PROSITE-ProRule:PRU00277},,GO:0003824,
973,Q80Z09,Q80Z09_MOUSE,Mus musculus (Mouse),"G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040}, Transducer {ECO:0000256|ARBA:ARBA00023040}, Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, ECO:0000256|SAM:Phobius},  Receptor {ECO:0000256|ARBA:ARBA00023040}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|SAM:SignalP}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}",integral component of plasma membrane IBA,GO:0005887,"G protein-coupled olfactory receptor activity IGI, signaling receptor activity IBA, G protein-coupled receptor activity IBA","GO:0038023, GO:0038022, GO:0004930","neuron differentiation IGI, positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway IDA","GO:0030182, GO:0051482",,"GO:0065007, GO:0009987, GO:0032502",GO:0060089,"GO:0016021, GO:0031226"
974,Q80ZP3,Q80ZP3_MOUSE,Mus musculus (Mouse),,,,,,,,,,,
975,Q80ZT4,Q80ZT4_MOUSE,Mus musculus (Mouse),Reference proteome {ECO:0000313|Proteomes:UP000000589},nucleus IBA,GO:0005634,,,"regulation of transcription, DNA-templated IEA",GO:0006355,,GO:0065007,,"GO:0043229, GO:0043227"
976,Q80ZV3,Q80ZV3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:Q80ZV3,, ECO:0000213|MaxQB:Q80ZV3, ECO:0000213|PeptideAtlas:Q80ZV3}",,,pyridoxal phosphate binding IEA,GO:0030170,,,,,GO:0005488,
977,Q811B2,Q811B2_MOUSE,Mus musculus (Mouse),,cytoskeleton IEA,GO:0005856,"actin binding IEA, structural molecule activity IEA","GO:0005198, GO:0003779",,,,,GO:0005488,"GO:0043228, GO:0043229"
978,Q8BGH4,REEP1_MOUSE,Mus musculus (Mouse)," Membrane,  Transmembrane, Reference proteome,  Phosphoprotein,  Mitochondrion,  Transmembrane helix, Endoplasmic reticulum","cytoplasm ISO, integral component of membrane IEA, cytoplasmic microtubule IBA, endoplasmic reticulum membrane IDA, mitochondrial membrane IEA, membrane ISS, endoplasmic reticulum ISS, endoplasmic reticulum tubular network IDA","GO:0005881, GO:0031966, GO:0005737, GO:0005789, GO:0016020, GO:0071782, GO:0005783, GO:0016021","microtubule binding ISS, olfactory receptor binding ISO","GO:0031849, GO:0008017","endoplasmic reticulum tubular network organization ISS, regulation of intracellular transport IDA, protein insertion into membrane ISO","GO:0071786, GO:0051205, GO:0032386",Receptor expression-enhancing protein 1,"GO:0051179, GO:0065007, GO:0009987",GO:0005488,"GO:0043229, GO:0043227, GO:0031090, GO:0031984, GO:0099080"
979,Q8BH80,Q8BH80_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Proteomics identification {ECO:0000213|EPD:Q8BH80,, ECO:0000213|MaxQB:Q8BH80, ECO:0000213|PeptideAtlas:Q8BH80}, Reference proteome {ECO:0000313|Proteomes:UP000000589},  Ubl conjugation {ECO:0000256|ARBA:ARBA00022843}, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}, Isopeptide bond {ECO:0000256|ARBA:ARBA00022499}, ECO:0000256|SAM:Phobius}, Acetylation {ECO:0000256|ARBA:ARBA00022990}, Endoplasmic reticulum {ECO:0000256|ARBA:ARBA00022824}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Unfolded protein response {ECO:0000256|ARBA:ARBA00023230}","endoplasmic reticulum membrane ISS, integral component of membrane IEA, Golgi membrane IEA, Golgi apparatus ISS, endoplasmic reticulum ISS","GO:0000139, GO:0005794, GO:0005789, GO:0005783, GO:0016021","FFAT motif binding IEA, microtubule binding IEA, protein heterodimerization activity ISS, beta-tubulin binding ISS, enzyme binding ISS, protein homodimerization activity ISS","GO:0033149, GO:0042803, GO:0048487, GO:0019899, GO:0008017, GO:0046982","modulation by virus of host process ISS, positive regulation of viral genome replication ISS, COPII-coated vesicle budding IEA, endoplasmic reticulum organization IEA, endoplasmic reticulum unfolded protein response ISS, IRE1-mediated unfolded protein response IEA, cellular calcium ion homeostasis IEA","GO:0030968, GO:0045070, GO:0006874, GO:0019048, GO:0036498, GO:0090114, GO:0007029",,"GO:0050896, GO:0065007, GO:0009987, GO:0044419",GO:0005488,"GO:0031090, GO:0043229, GO:0043227"
980,Q8BH99,Q8BH99_MOUSE,Mus musculus (Mouse),"ProRule:PRU00192}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Reference proteome {ECO:0000313|Proteomes:UP000000589}, SH2 domain {ECO:0000256|PROSITE-ProRule:PRU00191}, Proteomics identification {ECO:0000213|EPD:Q8BH99,, ECO:0000213|MaxQB:Q8BH99, ECO:0000213|PeptideAtlas:Q8BH99}",,,,,,,,,,
981,Q8BHK3,S36A2_MOUSE,Mus musculus (Mouse)," Membrane,  Transmembrane, Reference proteome,  Cell membrane,  Transmembrane helix, Alternative splicing,  Cytoplasm","integral component of membrane IEA, cytoplasm IEA, plasma membrane IDA","GO:0005737, GO:0005886, GO:0016021","amino acid transmembrane transporter activity IBA, glycine transmembrane transporter activity IDA, L-proline transmembrane transporter activity IDA, amino acid, L-alanine transmembrane transporter activity IDA","GO:0015187, GO:0005280, GO:0015180, GO:0015171, GO:0015193","regulation of proton transport ISO, positive regulation of glycine import across plasma membrane ISO, regulation of proline transport ISO, amino acid export across plasma membrane ISO, tyrosine transport IEA, glycine transport IDA, proton transmembrane transport IDA, L-alanine transport IDA, amino acid transmembrane transport IBA, proline transmembrane transport ISO, proline transport IDA","GO:0035524, GO:1900925, GO:0032973, GO:0010155, GO:1902600, GO:0070881, GO:0015828, GO:0015824, GO:0015808, GO:0003333, GO:0015816",Proton-coupled amino acid transporter 2,"GO:0051179, GO:0065007, GO:0009987",GO:0005215,
982,Q8BI80,Q8BI80_MOUSE,Mus musculus (Mouse),,"endoplasmic reticulum IBA, protein-containing complex ISO","GO:0005783, GO:0032991","unfolded protein binding IBA, UDP-glucose","GO:0051082, GO:0003980","ER-associated misfolded protein catabolic process IBA, protein N-linked glycosylation via asparagine IBA","GO:0018279, GO:0071712",,"GO:0008152, GO:0050896, GO:0009987","GO:0005488, GO:0003824","GO:0043229, GO:0043227"
983,Q8BIL8,Q8BIL8_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|SAM:Phobius}, Glycosidase {ECO:0000256|RuleBase:RU361193}, Membrane {ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|SAM:Phobius}, Hydrolase {ECO:0000256|RuleBase:RU361193}",integral component of membrane IEA,GO:0016021,"calcium ion binding IEA, mannosyl-oligosaccharide 1,2-alpha-mannosidase activity IEA","GO:0005509, GO:0004571",carbohydrate metabolic process IEA,GO:0005975,"alpha-1,2-Mannosidase {ECO:0000256|RuleBase:RU361193}",GO:0008152,"GO:0005488, GO:0003824",
984,Q8BJX0,Q8BJX0_MOUSE,Mus musculus (Mouse),"Proteasome {ECO:0000256|ARBA:ARBA00022942, ECO:0000256|RuleBase:RU004203}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490, ECO:0000256|RuleBase:RU004203}, Hydrolase {ECO:0000256|RuleBase:RU004203}, Nucleus {ECO:0000256|ARBA:ARBA00023242, ECO:0000256|RuleBase:RU004203}, Protease {ECO:0000256|RuleBase:RU004203}, Threonine protease {ECO:0000256|RuleBase:RU004203}","cytoplasm IEA, nucleus IEA, proteasome core complex IEA","GO:0005839, GO:0005737, GO:0005634",threonine-type endopeptidase activity IEA,GO:0004298,proteolysis involved in cellular protein catabolic process IEA,GO:0051603,Proteasome subunit beta {ECO:0000256|RuleBase:RU004203},GO:0008152,GO:0003824,"GO:0043229, GO:0043227"
985,Q8BKE0,Q8BKE0_MOUSE,Mus musculus (Mouse),"Proteasome {ECO:0000256|ARBA:ARBA00022942, ECO:0000256|PROSITE-, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:Q8BKE0, ECO:0000213|PeptideAtlas:Q8BKE0}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, ProRule:PRU00808}, Proteomics identification {ECO:0000213|EPD:Q8BKE0,","proteasome core complex, alpha-subunit complex IEA, nucleus IEA","GO:0019773, GO:0005634",peptidase activity IEA,GO:0008233,proteolysis involved in cellular protein catabolic process IEA,GO:0051603,,GO:0008152,GO:0003824,"GO:0043229, GO:0043227"
986,Q8BKH0,Q8BKH0_MOUSE,Mus musculus (Mouse),,,,GTPase activator activity IEA,GO:0005096,,,,,GO:0098772,
987,Q8BKJ2,Q8BKJ2_MOUSE,Mus musculus (Mouse),Repeat {ECO:0000256|ARBA:ARBA00022737},ribonucleoprotein complex IEA,GO:1990904,RNA binding IEA,GO:0003723,,,,,GO:0005488,
988,Q8BKK2,Q8BKK2_MOUSE,Mus musculus (Mouse),,,,RNA binding IEA,GO:0003723,RNA processing IEA,GO:0006396,,"GO:0008152, GO:0009987",GO:0005488,
989,Q8BKS6,Q8BKS6_MOUSE,Mus musculus (Mouse),,,,serine-type endopeptidase activity IEA,GO:0004252,,,,,GO:0003824,
990,Q8BKW6,Q8BKW6_MOUSE,Mus musculus (Mouse),Coiled coil {ECO:0000256|SAM:Coils},,,,,"cell migration ISO, signal transduction IEA","GO:0016477, GO:0007165",Rho-GAP domain-containing protein {ECO:0000259|PROSITE:PS50238},"GO:0040011, GO:0065007, GO:0009987",,
991,Q8BL94,Q8BL94_MOUSE,Mus musculus (Mouse),,,,"zinc ion binding IEA, oxidoreductase activity IEA","GO:0008270, GO:0016491",,,PKS_ER domain-containing protein {ECO:0000259|SMART:SM00829},,"GO:0005488, GO:0003824",
992,Q8BLR0,Q8BLR0_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,,,,,,,,
