,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
509,Q9QZX7,SRR_MOUSE,Serine racemase {ECO:0000303|PubMed:10557334},Mus musculus (Mouse),"apical part of cell ISO, plasma membrane ISO, cytoplasm ISO, neuronal cell body ISO","GO:0005886, GO:0005737, GO:0043025, GO:0045177","serine family amino acid metabolic process IDA, pyruvate biosynthetic process ISO, D-serine biosynthetic process IDA, aging IEA, D-serine metabolic process ISO, L-serine metabolic process IDA, response to lipopolysaccharide IEA, brain development IEA, response to morphine IEA, response to drug IEA","GO:0032496, GO:0007420, GO:0042866, GO:0042493, GO:0006563, GO:0070178, GO:0043278, GO:0007568, GO:0070179, GO:0009069"," Magnesium,  Alternative splicing, Nucleotide-binding,  Lyase, Direct protein sequencing,  Isomerase,  Metal-binding,  S-nitrosylation, Allosteric enzyme, Reference proteome,  Phosphoprotein,  Pyridoxal phosphate,  ATP-binding","D-serine ammonia-lyase activity IEA, PDZ domain binding ISO, serine racemase activity IDA, protein homodimerization activity ISO, magnesium ion binding ISO, glycine binding IDA, pyridoxal phosphate binding IMP, ATP binding IDA, L-serine ammonia-lyase activity ISO, threonine racemase activity IDA, calcium ion binding IDA, identical protein binding IPI","GO:0018114, GO:0030165, GO:0042802, GO:0005509, GO:0000287, GO:0030170, GO:0016594, GO:0003941, GO:0030378, GO:0042803, GO:0005524, GO:0008721","GO:0009987, GO:0008152, GO:0032502, GO:0050896","GO:0005488, GO:0003824",GO:0044297
510,Q9R013,FT,Cathepsin F,Mus musculus (Mouse),"lysosome IBA, extracellular space IBA","GO:0005764, GO:0005615",proteolysis involved in cellular protein catabolic process IBA,GO:0051603," Hydrolase,  Thiol protease,  Protease,  Lysosome, Disulfide bond, Reference proteome,  Glycoprotein,  Signal,  Zymogen","cysteine-type endopeptidase activity IBA, cysteine-type peptidase activity ISS","GO:0008234, GO:0004197",GO:0008152,GO:0003824,"GO:0043229, GO:0043227"
511,Q9R0S3,FT,Matrix metalloproteinase-17,Mus musculus (Mouse),"plasma membrane IEA, extracellular matrix IEA, anchored component of membrane IEA","GO:0031012, GO:0031225, GO:0005886","drinking behavior IMP, extracellular matrix organization IBA, collagen catabolic process IBA, kidney development IMP","GO:0030198, GO:0030574, GO:0001822, GO:0042756"," Hydrolase,  Metalloprotease,  Protease,  Reference proteome,  Secreted,  Disulfide bond,  Zinc,  GPI-anchor,  Metal-binding, Calcium, Membrane,  Cleavage on pair of basic residues, Extracellular matrix,  Glycoprotein, Repeat,  Cell membrane,  Signal,  Zymogen,  Lipoprotein","zinc ion binding IEA, metalloendopeptidase activity IBA","GO:0008270, GO:0004222","GO:0032502, GO:0007610, GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0030312, GO:0031224"
512,Q9R0X5,FT,X-linked retinitis pigmentosa GTPase regulator,Mus musculus (Mouse),"cilium IDA, centrosome ISS, cell projection ISO, photoreceptor connecting cilium IDA, photoreceptor distal connecting cilium IDA, ciliary basal body IDA, Golgi apparatus IDA, sperm flagellum IDA, cytoplasm IDA, photoreceptor outer segment ISO","GO:0005813, GO:0005737, GO:0036064, GO:0005794, GO:0032391, GO:0120206, GO:0001750, GO:0036126, GO:0005929, GO:0042995","retina morphogenesis in camera-type eye IMP, cilium assembly ISO, cellular response to light stimulus IMP, intraciliary transport IMP, visual perception IMP, eye photoreceptor cell development IMP","GO:0071482, GO:0060042, GO:0060271, GO:0042073, GO:0007601, GO:0042462","Methylation,  Reference proteome,  Cytoplasm,  Repeat,  Prenylation,  Flagellum, Golgi apparatus, Alternative splicing,  Guanine-nucleotide releasing factor,  Vision,  Cilium,  Cytoskeleton,  Cell projection, Cilium biogenesis/degradation,  Phosphoprotein,  Lipoprotein, Sensory transduction",guanyl-nucleotide exchange factor activity IEA,GO:0005085,"GO:0009987, GO:0051179, GO:0032502, GO:0050896, GO:0032501",GO:0098772,"GO:0005929, GO:0042995, GO:0043227, GO:0035869, GO:0005815, GO:0043229"
513,Q9R269,PEPL_MOUSE,Periplakin,Mus musculus (Mouse),"membrane IBA, desmosome IEA, plasma membrane IDA, cytoskeleton IEA, extrinsic component of plasma membrane TAS, cytoplasm IDA","GO:0019897, GO:0005886, GO:0005737, GO:0005856, GO:0016020, GO:0030057","keratinization IEA, intermediate filament cytoskeleton organization IBA, wound healing IBA","GO:0045104, GO:0042060, GO:0031424"," Reference proteome,  Cytoplasm,  Coiled coil,  Repeat,  Membrane,  Cytoskeleton,  Cell membrane, SH3 domain,  Phosphoprotein, Cell junction, Keratinization",structural molecule activity IBA,GO:0005198,"GO:0032501, GO:0009987, GO:0050896",,"GO:0030054, GO:0019898, GO:0043229, GO:0043228"
514,Q9WTR0,FT,Matrix metalloproteinase-16,Mus musculus (Mouse),"extracellular matrix IEA, integral component of plasma membrane ISO","GO:0031012, GO:0005887","proteolysis ISO, endochondral ossification IGI, skeletal system development IBA, craniofacial suture morphogenesis IGI, collagen catabolic process IDA, ossification IGI, embryonic cranial skeleton morphogenesis IGI, bone development IGI, extracellular matrix organization IBA, chondrocyte proliferation IGI, protein processing ISO","GO:0001501, GO:0097094, GO:0006508, GO:0060348, GO:0048701, GO:0035988, GO:0030198, GO:0001503, GO:0030574, GO:0016485, GO:0001958"," Hydrolase,  Metalloprotease,  Protease,  Reference proteome,  Repeat, Metal-binding,  Disulfide bond,  Transmembrane,  Membrane,  Transmembrane helix,  Zinc, Calcium, Signal,  Cleavage on pair of basic residues,  Glycoprotein, Collagen degradation,  Cell membrane,  Zymogen","metalloaminopeptidase activity ISO, zinc ion binding ISO, metalloendopeptidase activity ISO","GO:0008270, GO:0070006, GO:0004222","GO:0032501, GO:0009987, GO:0032502, GO:0008152","GO:0003824, GO:0005488","GO:0030312, GO:0031224"
515,Q9WTR1,TRPV2_MOUSE,Transient receptor potential cation channel subfamily V member 2,Mus musculus (Mouse),"lamellipodium ISO, melanosome IEA, axonal growth cone IDA, cell body IDA, plasma membrane IDA, growth cone membrane IDA, cytoplasm ISO, cell surface IDA, endomembrane system ISO, integral component of plasma membrane IBA, axon IDA","GO:0032584, GO:0005887, GO:0030027, GO:0005886, GO:0005737, GO:0030424, GO:0044297, GO:0009986, GO:0044295, GO:0012505, GO:0042470","positive regulation of axon extension IMP, positive regulation of cold-induced thermogenesis IMP, negative regulation of cell population proliferation ISO, response to heat ISO, calcium ion import across plasma membrane IBA, positive regulation of calcium ion import IMP, response to temperature stimulus ISO","GO:0008285, GO:0009408, GO:0045773, GO:0098703, GO:0090280, GO:0009266, GO:0120162"," Reference proteome,  Repeat,  Ion transport,  Transmembrane,  Membrane,  Calcium transport,  Ion channel,  Transport,  Glycoprotein, Phosphoprotein,  Cell membrane, Cytoplasm,  Calcium, Transmembrane helix,  Calcium channel, ANK repeat","ion channel activity IBA, identical protein binding ISO, calcium channel activity IDA, cation channel activity IDA","GO:0042802, GO:0005261, GO:0005216, GO:0005262","GO:0051179, GO:0065007, GO:0009987, GO:0050896","GO:0005215, GO:0005488","GO:0030427, GO:0043227, GO:0042995, GO:0031224"
516,Q9WTR6,XCT_MOUSE,Cystine/glutamate transporter,Mus musculus (Mouse),"astrocyte projection IDA, integral component of membrane IEA, intracellular membrane-bounded organelle ISO, rough endoplasmic reticulum ISO, plasma membrane IDA, cytoskeleton ISO, brush border membrane IDA, membrane IDA, apical part of cell IDA, cell surface ISO","GO:0043231, GO:0031526, GO:0005886, GO:0005856, GO:0045177, GO:0009986, GO:0016020, GO:0097449, GO:0016021, GO:0005791","lung alveolus development IMP, response to nicotine IEA, striatum development IMP, regulation of melanin biosynthetic process IMP, ventricular system development IMP, lens fiber cell differentiation IEA, regulation of cellular response to oxidative stress IMP, regulation of glutamate metabolic process IMP, cellular response to oxidative stress IMP, visual learning IMP, response to redox state IMP, regulation of cysteine metabolic process IMP, modulation of chemical synaptic transmission IMP, limb development IMP, glutamate homeostasis IMP, negative regulation of oxidative stress-induced neuron death IDA, L-glutamate import across plasma membrane IMP, brain development IMP, regulation of protein transport IMP, organic substance transport IMP, regulation of AMPA glutamate receptor clustering IMP, regulation of neutrophil apoptotic process IMP, adult behavior IDA, response to toxic substance ISO, platelet aggregation IMP, response to organic cyclic compound IMP, dipeptide import across plasma membrane IMP, regulation of cell population proliferation IMP, regulation of synapse organization IMP, regulation of glutathione biosynthetic process IMP, glutathione transmembrane transport IDA, glutathione metabolic process IMP","GO:0008542, GO:1901494, GO:0051775, GO:0035094, GO:0098712, GO:0140206, GO:0034599, GO:0042127, GO:1903786, GO:0007420, GO:0048021, GO:0021756, GO:0090461, GO:1904717, GO:0009636, GO:0033029, GO:0050807, GO:1903204, GO:0006749, GO:0051223, GO:0070527, GO:0060173, GO:0048286, GO:0034775, GO:0070306, GO:0014070, GO:0021591, GO:2000211, GO:1900407, GO:0071702, GO:0030534, GO:0050804","Amino-acid transport,  Disulfide bond,  Transmembrane,  Membrane,  Transmembrane helix,  Transport, Reference proteome,  Phosphoprotein",L-amino acid transmembrane transporter activity IBA,GO:0015179,"GO:0022610, GO:0009987, GO:0008152, GO:0051179, GO:0032502, GO:0050896, GO:0032501, GO:0065007, GO:0007610",GO:0005215,"GO:0043228, GO:0042995, GO:0043227, GO:0031224, GO:0043229, GO:0098590"
517,Q9WTS4,FT,Teneurin-1,Mus musculus (Mouse),"endoplasmic reticulum ISS, extracellular region IDA, nucleus IDA, neuron projection IBA, nuclear matrix ISS, plasma membrane IDA, cytoskeleton ISS, nuclear speck ISS, integral component of plasma membrane IDA, Golgi apparatus ISS, cytoplasm IDA, perinuclear region of cytoplasm IDA","GO:0005576, GO:0005887, GO:0043005, GO:0005886, GO:0005737, GO:0005856, GO:0005634, GO:0005794, GO:0016363, GO:0048471, GO:0016607, GO:0005783","positive regulation of actin filament polymerization IDA, positive regulation of MAP kinase activity IDA, positive regulation of filopodium assembly IDA, positive regulation of peptidyl-serine phosphorylation IDA, neuropeptide signaling pathway IEA, heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules IBA, neuron development IBA, positive regulation of intracellular protein transport ISS, regulation of transcription by RNA polymerase III IDA","GO:0007218, GO:0007157, GO:0033138, GO:0006359, GO:0030838, GO:0090316, GO:0043406, GO:0048666, GO:0051491"," Repressor,  Transmembrane helix,  Transmembrane,  Stress response,  Transcription,  Nucleus, Repeat,  Reference proteome,  EGF-like domain,  Secreted, Membrane,  Cytoskeleton,  Cleavage on pair of basic residues,  Glycoprotein,  Cell membrane, Cytoplasm, Alternative splicing,  Phosphoprotein, Transcription regulation,  Disulfide bond,  Neuropeptide","protein homodimerization activity IDA, protein heterodimerization activity IDA, cell adhesion molecule binding IBA, identical protein binding IPI","GO:0050839, GO:0046982, GO:0042803, GO:0042802","GO:0022610, GO:0065007, GO:0009987, GO:0032502",GO:0005488,"GO:0043228, GO:0043227, GO:0042995, GO:0031224, GO:0016604, GO:0043229"
518,Q9JLC1,FT,Teneurin-3 {ECO:0000303|PubMed:29414938},Mus musculus (Mouse),"axon IEA, integral component of plasma membrane IDA, neuron projection IBA, membrane IDA","GO:0016020, GO:0030424, GO:0005887, GO:0043005","homophilic cell adhesion via plasma membrane adhesion molecules IDA, regulation of homophilic cell adhesion IDA, camera-type eye morphogenesis ISO, heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules IBA, signal transduction IEA, neuron development IBA, positive regulation of neuron projection development IDA","GO:1903385, GO:0007165, GO:0007157, GO:0007156, GO:0010976, GO:0048593, GO:0048666","3D-structure,  Reference proteome,  Alternative splicing,  EGF-like domain,  Repeat,  Disulfide bond, Glycoprotein,  Membrane,  Transmembrane,  Cell adhesion,  Cell membrane, Cell projection, Transmembrane helix,  Differentiation","protein homodimerization activity IDA, protein heterodimerization activity IDA, cell adhesion molecule binding IBA, identical protein binding IPI","GO:0050839, GO:0046982, GO:0042803, GO:0042802","GO:0022610, GO:0065007, GO:0009987, GO:0032502",GO:0005488,"GO:0042995, GO:0031224"
519,Q9WTV7,RNF12_MOUSE,E3 ubiquitin-protein ligase RLIM,Mus musculus (Mouse),"cytosol ISO, cytoplasm IBA, nucleoplasm ISO, nucleus IDA","GO:0005737, GO:0005634, GO:0005654, GO:0005829","protein ubiquitination IDA, negative regulation of DNA-binding transcription factor activity IGI, regulation of dosage compensation by inactivation of X chromosome IMP, random inactivation of X chromosome IDA, negative regulation of transcription by RNA polymerase II IGI, ubiquitin-dependent protein catabolic process IDA","GO:0000122, GO:1900095, GO:0016567, GO:0006511, GO:0043433, GO:0060816"," Reference proteome,  Zinc-finger, Acetylation,  Zinc,  Metal-binding,  Nucleus, Transcription,  Transcription regulation,  Phosphoprotein,  Transferase, Ubl conjugation pathway","ubiquitin protein ligase activity IDA, metal ion binding IEA, ubiquitin-protein transferase activity IDA","GO:0004842, GO:0046872, GO:0061630","GO:0065007, GO:0009987, GO:0008152","GO:0005488, GO:0003824","GO:0043229, GO:0043227"
520,Q9WV52,PLEK2_MOUSE,Pleckstrin-2,Mus musculus (Mouse),"lamellipodium membrane IEA, cytoplasm IEA, plasma membrane IDA, cytoskeleton IEA, membrane IDA","GO:0005886, GO:0005737, GO:0005856, GO:0031258, GO:0016020","positive regulation of plasma membrane bounded cell projection assembly IDA, actin cytoskeleton organization IMP, intracellular signal transduction IEA, actin cytoskeleton reorganization IDA, positive regulation of cell projection organization IMP","GO:0031532, GO:0035556, GO:0031346, GO:0120034, GO:0030036","3D-structure,  Reference proteome,  Cytoplasm,  Repeat,  Membrane, Cytoskeleton,  Cell projection,  Acetylation,  Cell membrane,  Phosphoprotein","phosphatidylinositol-3,4-bisphosphate binding IDA, phosphatidylinositol-3,5-bisphosphate binding IDA, phosphatidylinositol-3-phosphate binding IDA","GO:0032266, GO:0080025, GO:0043325","GO:0065007, GO:0009987",GO:0005488,"GO:0031256, GO:0043228, GO:0043229, GO:0098590"
521,Q9WV74,ASB1_MOUSE,Ankyrin repeat and SOCS box protein 1,Mus musculus (Mouse),ubiquitin ligase complex ISO,GO:0000151,"intracellular signal transduction IEA, male genitalia development IMP, protein ubiquitination ISO","GO:0016567, GO:0035556, GO:0030539"," Reference proteome,  Repeat,  Developmental protein, Ubl conjugation pathway, ANK repeat",ubiquitin protein ligase activity IEA,GO:0061630,"GO:0009987, GO:0008152, GO:0032502, GO:0065007, GO:0022414",GO:0003824,"GO:0140535, GO:1902494"
522,Q9WVB2,TLE2_MOUSE,Transducin-like enhancer protein 2,Mus musculus (Mouse),"focal adhesion ISO, nucleoplasm ISO, nucleus IBA, nuclear body ISO, transcription regulator complex IBA","GO:0005667, GO:0005634, GO:0005654, GO:0016604, GO:0005925","negative regulation of transcription, DNA-templated ISO, negative regulation of canonical Wnt signaling pathway ISO, Wnt signaling pathway IEA","GO:0045892, GO:0090090, GO:0016055"," Reference proteome, Nucleus,  Repressor,  Repeat,  WD repeat,  Ubl conjugation, Transcription,  Transcription regulation,  Phosphoprotein, Wnt signaling pathway","transcription corepressor activity ISO, repressing transcription factor binding IBA","GO:0003714, GO:0070491","GO:0065007, GO:0009987","GO:0098772, GO:0140110, GO:0005488","GO:0030054, GO:0043229, GO:0043227"
523,Q9WVQ5,MTNB_MOUSE,Methylthioribulose-1-phosphate dehydratase {ECO:0000255|HAMAP-Rule:MF_03116},Mus musculus (Mouse),cytoplasm ISS,GO:0005737,"negative regulation of apoptotic process IMP, pyroptosis ISS, L-methionine salvage from methylthioadenosine ISS, apoptotic process IEA, protein homotetramerization ISS, regulation of ERK1 and ERK2 cascade IMP, L-methionine salvage from S-adenosylmethionine IEA","GO:0019284, GO:0070372, GO:0043066, GO:0070269, GO:0019509, GO:0051289, GO:0006915"," Reference proteome,  Cytoplasm,  Apoptosis,  Lyase,  Zinc,  Metal-binding, Amino-acid biosynthesis, Methionine biosynthesis","methylthioribulose 1-phosphate dehydratase activity ISS, identical protein binding ISO, zinc ion binding ISS","GO:0042802, GO:0046570, GO:0008270","GO:0065007, GO:0009987, GO:0008152","GO:0003824, GO:0005488",
524,Q9WVF3,MK07_MOUSE,Mitogen-activated protein kinase 7,Mus musculus (Mouse),"cytosol IDA, nucleoplasm ISO, nucleus IDA, PML body ISS, cytoplasm IDA","GO:0016605, GO:0005829, GO:0005737, GO:0005634, GO:0005654","cell cycle IEA, negative regulation of MAP kinase activity IDA, negative regulation of extrinsic apoptotic signaling pathway in absence of ligand ISO, positive regulation of protein metabolic process ISO, negative regulation of response to cytokine stimulus ISO, regulation of angiogenesis IMP, cell differentiation IEA, negative regulation of endothelial cell apoptotic process ISO, negative regulation of apoptotic process IDA, cellular response to laminar fluid shear stress ISO, cellular response to hydrogen peroxide ISO, negative regulation of calcineurin-NFAT signaling cascade IMP, cellular response to growth factor stimulus ISO, negative regulation of ERK5 cascade IDA, positive regulation of transcription by RNA polymerase II ISO, positive regulation of transcription from RNA polymerase II promoter in response to stress ISO, intracellular signal transduction IBA, negative regulation of heterotypic cell-cell adhesion ISO, cellular response to transforming growth factor beta stimulus ISO, protein phosphorylation IDA, peptidyl-serine phosphorylation IDA, negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway ISO, regulation of gene expression IBA","GO:0010468, GO:0070885, GO:2001240, GO:0035556, GO:0043407, GO:0007049, GO:0071499, GO:0045944, GO:0070377, GO:0071363, GO:0043066, GO:0034115, GO:1902176, GO:0071560, GO:2000352, GO:0036003, GO:0006468, GO:0060761, GO:0030154, GO:0070301, GO:0051247, GO:0018105, GO:0045765"," Nucleotide-binding,  Cell cycle,  Cytoplasm,  Alternative splicing,  Serine/threonine-protein kinase, Acetylation, Differentiation,  Nucleus, Reference proteome,  Kinase,  Phosphoprotein,  Transferase,  ATP-binding","mitogen-activated protein kinase binding ISO, MAP kinase activity ISO, protein kinase activity IDA, ATP binding ISO, protein serine/threonine kinase activity IDA","GO:0004707, GO:0051019, GO:0004672, GO:0004674, GO:0005524","GO:0009987, GO:0008152, GO:0032502, GO:0050896, GO:0065007","GO:0005488, GO:0003824","GO:0016604, GO:0043229, GO:0043227"
525,Q9Z0E8,S22A5_MOUSE,Solute carrier family 22 member 5,Mus musculus (Mouse),"membrane IC, integral component of membrane IEA, apical plasma membrane ISO, plasma membrane ISO, basolateral plasma membrane ISO, cytosol ISO, cytoplasm ISO, brush border membrane IDA","GO:0016323, GO:0031526, GO:0005829, GO:0005886, GO:0005737, GO:0016324, GO:0016020, GO:0016021","response to symbiotic bacterium ISO, reproductive structure development IMP, carnitine metabolic process IMP, sodium ion transport IEA, sodium-dependent organic cation transport ISO, (R)-carnitine transmembrane transport IMP, mitochondrion organization IMP, transport across blood-brain barrier IMP, adult heart development IMP, quaternary ammonium group transport IDA, locomotory behavior IMP, positive regulation of intestinal epithelial structure maintenance ISO, carnitine transport IDA","GO:0007626, GO:0015879, GO:0015697, GO:0060731, GO:0048608, GO:0009609, GO:0070715, GO:0006814, GO:0150104, GO:0007005, GO:0009437, GO:1902270, GO:0007512"," Nucleotide-binding,  Reference proteome,  Ion transport,  Transmembrane,  Transmembrane helix,  Disease mutation, Membrane,  Symport, ATP-binding,  Glycoprotein,  Sodium,  Cell membrane, Sodium transport,  Phosphoprotein,  Transport","(R)-carnitine transmembrane transporter activity IMP, symporter activity IEA, ATP binding IEA, carnitine transmembrane transporter activity IDA, quaternary ammonium group transmembrane transporter activity IDA, PDZ domain binding ISO","GO:0015293, GO:0015226, GO:0030165, GO:0005524, GO:0015651, GO:1901235","GO:0009987, GO:0044419, GO:0008152, GO:0051179, GO:0032502, GO:0050896, GO:0032501, GO:0065007, GO:0007610, GO:0022414","GO:0005488, GO:0005215","GO:0098590, GO:0031224"
526,Q9Z1L2,SNG4_MOUSE,Synaptogyrin-4,Mus musculus (Mouse),"synaptic vesicle membrane IBA, integral component of membrane IEA, neuromuscular junction IBA","GO:0016021, GO:0031594, GO:0030672",,," Reference proteome,  Transmembrane,  Transmembrane helix, Membrane",,,,,"GO:0030054, GO:0031090, GO:0031224"
527,Q9Z1S3,GRP1_MOUSE,RAS guanyl-releasing protein 1,Mus musculus (Mouse),"Golgi membrane IEA, Golgi apparatus ISO, plasma membrane ISO, cytosol ISO, endoplasmic reticulum membrane IEA","GO:0005829, GO:0005886, GO:0005794, GO:0005789, GO:0000139","positive regulation of ERK1 and ERK2 cascade ISO, secretory granule localization IMP, positive regulation of granulocyte macrophage colony-stimulating factor production ISO, positive regulation of Ras protein signal transduction ISO, cytokine production IMP, mast cell degranulation IMP, regulation of ERK1 and ERK2 cascade ISO, T cell proliferation ISO, vesicle transport along microtubule IMP, activation of GTPase activity IMP, B cell proliferation ISO, cell differentiation IEA, positive regulation of interferon-gamma production ISO, positive regulation of tumor necrosis factor production ISO, B cell activation ISO, positive regulation of protein phosphorylation ISO, positive regulation of natural killer cell activation IMP, regulation of phosphatidylinositol 3-kinase signaling IMP, T cell activation ISO, positive regulation of JNK cascade ISO, positive regulation of natural killer cell mediated cytotoxicity ISO, positive regulation of T cell differentiation in thymus IMP, inflammatory response to antigenic stimulus IMP, positive regulation of GTPase activity ISO, small GTPase mediated signal transduction IEA, natural killer cell activation ISO, positive regulation of MAP kinase activity ISO, positive regulation of natural killer cell differentiation IMP","GO:0032760, GO:0032729, GO:0007264, GO:0043303, GO:0001934, GO:0042113, GO:0032816, GO:0030101, GO:0042100, GO:0070374, GO:0046330, GO:0001816, GO:0032825, GO:0032252, GO:0070372, GO:0047496, GO:0033089, GO:0014066, GO:0032725, GO:0043406, GO:0002437, GO:0090630, GO:0046579, GO:0030154, GO:0042098, GO:0042110, GO:0045954, GO:0043547"," Reference proteome,  Cytoplasm,  Coiled coil, Endoplasmic reticulum,  Proto-oncogene, Guanine-nucleotide releasing factor,  Repeat,  Zinc,  Membrane,  Golgi apparatus,  Metal-binding, Calcium, Phosphoprotein,  Cell membrane, Zinc-finger,  Differentiation","diacylglycerol binding ISO, calcium ion binding ISO, zinc ion binding ISO, Ras guanyl-nucleotide exchange factor activity ISO, identical protein binding ISO, phosphatidylcholine binding ISO","GO:0008270, GO:0042802, GO:0005509, GO:0019992, GO:0005088, GO:0031210","GO:0002376, GO:0009987, GO:0008152, GO:0051179, GO:0032502, GO:0050896, GO:0032501, GO:0065007","GO:0098772, GO:0005488","GO:0031090, GO:0043229, GO:0043227"
528,Q9Z1S8,GAB2_MOUSE,GRB2-associated-binding protein 2,Mus musculus (Mouse),"cytosol TAS, protein-containing complex ISO, plasma membrane ISS, cytoplasm ISS","GO:0005886, GO:0005737, GO:0032991, GO:0005829","integrin-mediated signaling pathway IDA, intracellular signal transduction ISO, osteoclast differentiation IMP, positive regulation of cell population proliferation ISS, cell migration IDA, positive regulation of mast cell degranulation IMP, phosphatidylinositol-mediated signaling IMP, positive regulation of epithelial cell migration IMP","GO:0030316, GO:0043306, GO:0008284, GO:0035556, GO:0016477, GO:0010634, GO:0048015, GO:0007229"," Reference proteome,  Cytoplasm, Cell membrane,  Membrane, Phosphoprotein,  Direct protein sequencing","protein phosphatase binding ISO, phosphatidylinositol-3,4-bisphosphate binding IDA, protein domain specific binding ISO, phosphatidylinositol-3,4,5-trisphosphate binding IDA, transmembrane receptor protein tyrosine kinase adaptor activity ISS","GO:0019903, GO:0019904, GO:0005547, GO:0005068, GO:0043325","GO:0065007, GO:0009987, GO:0040011, GO:0032502","GO:0060090, GO:0005488",
529,Q9Z206,ARHG8_MOUSE,Neuroepithelial cell-transforming gene 1 protein,Mus musculus (Mouse),"cytoplasm IEA, plasma membrane IDA, nucleus IDA","GO:0005886, GO:0005737, GO:0005634","positive regulation of apoptotic process ISS, intracellular signal transduction IEA, cellular response to hydrogen peroxide ISS, myoblast migration IGI, positive regulation of Rho protein signal transduction IBA, positive regulation of GTPase activity ISS, cellular response to ionizing radiation ISS, positive regulation of substrate adhesion-dependent cell spreading IDA","GO:0043547, GO:0070301, GO:1900026, GO:0071479, GO:0035556, GO:0043065, GO:0035025, GO:0051451"," Reference proteome,  Cytoplasm,  Alternative splicing, Acetylation, Guanine-nucleotide releasing factor, Proto-oncogene,  Nucleus,  Phosphoprotein","Rho guanyl-nucleotide exchange factor activity IBA, GTP-Rho binding IDA","GO:0017049, GO:0005089","GO:0065007, GO:0009987, GO:0040011, GO:0050896","GO:0098772, GO:0005488","GO:0043229, GO:0043227"
530,Q9Z2D3,GSDME_MOUSE,Gasdermin-E {ECO:0000250|UniProtKB:O60443},Mus musculus (Mouse),"cytosol ISO, membrane ISS, cytoplasm IDA, plasma membrane ISS","GO:0005886, GO:0005737, GO:0016020, GO:0005829","inner ear receptor cell differentiation IMP, cellular response to tumor necrosis factor ISS, negative regulation of cell population proliferation ISO, pyroptosis ISS, cell death ISS, sensory perception of sound ISO, necrotic cell death IMP, positive regulation of MAPK cascade ISS, cellular response to virus IMP, positive regulation of intrinsic apoptotic signaling pathway ISS","GO:0008285, GO:2001244, GO:0008219, GO:0043410, GO:0007605, GO:0060113, GO:0098586, GO:0071356, GO:0070269, GO:0070265"," Reference proteome,  Cytoplasm, Cell membrane,  Transmembrane beta strand,  Membrane, Transmembrane,  Necrosis","phosphatidylinositol-4,5-bisphosphate binding ISS, cardiolipin binding IDA","GO:1901612, GO:0005546","GO:0009987, GO:0044419, GO:0032502, GO:0050896, GO:0032501, GO:0065007",GO:0005488,
531,S4R1M9,OSB10_MOUSE,Oxysterol-binding protein-related protein 10,Mus musculus (Mouse),"cytoskeleton IEA, intracellular membrane-bounded organelle IBA, membrane IBA, cytosol IBA","GO:0043231, GO:0005856, GO:0016020, GO:0005829",lipid metabolic process IEA,GO:0006629," Cytoplasm,  Methylation, Lipid transport,  Transport,  Cytoskeleton,  Lipid metabolism, Coiled coil, Reference proteome,  Phosphoprotein,  Lipid biosynthesis,  Lipid-binding","lipid binding IBA, sterol binding IBA, cholesterol binding ISO, phosphatidylserine binding ISS, sterol transporter activity IBA","GO:0001786, GO:0008289, GO:0032934, GO:0015485, GO:0015248",GO:0008152,"GO:0005215, GO:0005488","GO:0043228, GO:0043229, GO:0043227"
532,Q99LR1,ABD12_MOUSE,Lysophosphatidylserine lipase ABHD12 {ECO:0000305},Mus musculus (Mouse),"dendrite cytoplasm IDA, integral component of membrane IDA, membrane IBA, mitochondrion IEA, endoplasmic reticulum membrane IDA, AMPA glutamate receptor complex IDA, cytoplasm IDA","GO:0005739, GO:0005737, GO:0032839, GO:0005789, GO:0016020, GO:0016021, GO:0032281","response to auditory stimulus IMP, regulation of inflammatory response IMP, glycerophospholipid catabolic process ISO, adult walking behavior IMP, monoacylglycerol catabolic process IDA, acylglycerol catabolic process IDA, phospholipid catabolic process IDA, protein depalmitoylation IDA, phosphatidylserine catabolic process IMP","GO:0050727, GO:0009395, GO:0010996, GO:0002084, GO:0046464, GO:0046475, GO:0052651, GO:0007628, GO:0006660"," Hydrolase,  Reference proteome,  Transmembrane helix, Alternative splicing,  Membrane,  Endoplasmic reticulum, Transmembrane,  Glycoprotein,  Mitochondrion, Lipid metabolism","acylglycerol lipase activity IDA, phospholipase activity ISO, lysophospholipase activity IDA, palmitoyl-(protein) hydrolase activity IDA","GO:0008474, GO:0004620, GO:0004622, GO:0047372","GO:0009987, GO:0008152, GO:0050896, GO:0032501, GO:0065007, GO:0007610",GO:0003824,"GO:0031090, GO:0043227, GO:0098796, GO:0031224, GO:0005737, GO:0043229, GO:0043235, GO:1990351"
